"id","organization_id","url","type","species","age","gender","size","name","breeds.primary"
38272231,"CA2283","<a href='https://www.petfinder.com/cat/avalon-38272231/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Medium","Avalon","Tortoiseshell"
38272232,"CA2283","<a href='https://www.petfinder.com/cat/bebop-38272232/ca/fresno/feral-paws-rescue-group-ca2283/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Medium","Bebop","Domestic Short Hair"
38169228,"CA229","<a href='https://www.petfinder.com/cat/baby-ruth-38169228/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Small","Baby Ruth","Domestic Short Hair"
38102982,"CA229","<a href='https://www.petfinder.com/cat/tweety-38102982/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Small","Tweety","Domestic Short Hair"
37816198,"CA1382","<a href='https://www.petfinder.com/dog/garbanzo-37816198/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Garbanzo","German Shorthaired Pointer"
37724406,"CA1549","<a href='https://www.petfinder.com/dog/oreo-37724406/ca/hollister/acgsr-inc-ca1549/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Small","Oreo:","Terrier"
37565919,"CA1382","<a href='https://www.petfinder.com/dog/spot-37565919/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Large","Spot","Border Collie"
37564105,"CA551","<a href='https://www.petfinder.com/dog/frankie-37564105/ca/cantua-creek/paw-printz-pitbull-rescue-ca551/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Medium","Frankie","Pit Bull Terrier"
37451394,"CA229","<a href='https://www.petfinder.com/cat/tim-37451394/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Small","Tim","Domestic Short Hair"
37451412,"CA229","<a href='https://www.petfinder.com/cat/shirley-37451412/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Senior","Female","Small","Shirley","Domestic Short Hair"
37451415,"CA229","<a href='https://www.petfinder.com/cat/jolie-37451415/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Senior","Female","Small","Jolie","Domestic Short Hair"
37451405,"CA229","<a href='https://www.petfinder.com/cat/teal-37451405/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Small","Teal","Domestic Short Hair"
37451371,"CA229","<a href='https://www.petfinder.com/cat/king-triton-37451371/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Large","King Triton","Domestic Short Hair"
37451372,"CA229","<a href='https://www.petfinder.com/cat/koda-37451372/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Medium","Koda","Domestic Medium Hair"
37451385,"CA229","<a href='https://www.petfinder.com/cat/tom-37451385/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Medium","Tom","Domestic Short Hair"
37451350,"CA229","<a href='https://www.petfinder.com/cat/thorn-37451350/ca/fresno/valley-animal-center-ca229/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Female","Small","Thorn","Domestic Short Hair"
37416124,"CA32","<a href='https://www.petfinder.com/cat/tigger-37416124/ca/modesto/spca-of-stanislaus-ca32/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Male","Small","Tigger","Tabby"
37216229,"CA1382","<a href='https://www.petfinder.com/dog/tater-37216229/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Female","Large","Tater","Border Collie"
36955739,"CA1382","<a href='https://www.petfinder.com/dog/daisy-and-jack-36955739/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","Daisy and Jack","Collie"
36955730,"CA1382","<a href='https://www.petfinder.com/dog/jack-and-daisy-36955730/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Jack and Daisy","German Shepherd Dog"
36733968,"CA2249","<a href='https://www.petfinder.com/cat/gingko-indoor-only-36733968/ca/stockton/second-chance-kitty-ca2249/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Young","Male","Medium","Gingko INDOOR ONLY","Domestic Short Hair"
36599955,"CA2291","<a href='https://www.petfinder.com/cat/clyde-36599955/ca/lemoore/valley-animal-haven-ca2291/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Cat","Cat","Adult","Male","Large","Clyde","Domestic Short Hair"
36415022,"CA1382","<a href='https://www.petfinder.com/dog/bobby-36415022/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Small","Bobby","Chihuahua"
36397495,"CA1382","<a href='https://www.petfinder.com/dog/diego-36397495/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Large","Diego","Labrador Retriever"
36121260,"CA1382","<a href='https://www.petfinder.com/dog/sharpei-mix-sisters-36121260/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","Sharpei mix sisters","Shar-Pei"
36008948,"CA156","<a href='https://www.petfinder.com/dog/boots-36008948/ca/fresno/animal-rescue-of-fresno-ca156/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Senior","Male","Small","BOOTS","Spaniel"
35589344,"CA32","<a href='https://www.petfinder.com/dog/conner-35589344/ca/modesto/spca-of-stanislaus-ca32/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Young","Male","Small","Conner","Miniature Pinscher"
34948036,"CA1382","<a href='https://www.petfinder.com/dog/tiffany-34948036/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Small","Tiffany","Chihuahua"
34916634,"CA1382","<a href='https://www.petfinder.com/dog/brody-34916634/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Brody","German Shepherd Dog"
34856529,"CA1382","<a href='https://www.petfinder.com/dog/jet-34856529/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Jet","Retriever"
34071759,"CA1382","<a href='https://www.petfinder.com/dog/chaney-34071759/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Chaney","Black Labrador Retriever"
33852941,"CA1382","<a href='https://www.petfinder.com/dog/isaiah-33852941/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Isaiah","Boxer"
33725433,"CA1382","<a href='https://www.petfinder.com/dog/mandy-33725433/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","Mandy","German Shorthaired Pointer"
33725410,"CA1382","<a href='https://www.petfinder.com/dog/sam-dog-33725410/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Medium","Sam Dog","German Shepherd Dog"
33493187,"CA1382","<a href='https://www.petfinder.com/dog/elegant-lyssa-33493187/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Large","Elegant Lyssa","Chocolate Labrador Retriever"
33028764,"CA1382","<a href='https://www.petfinder.com/dog/banjo-33028764/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Large","Banjo","Cattle Dog"
32892704,"CA1382","<a href='https://www.petfinder.com/dog/ness-32892704/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","Ness","German Shepherd Dog"
32719710,"CA1598","<a href='https://www.petfinder.com/dog/chica-32719710/ca/modesto/pupz-n-palz-rescue-ca1598/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Male","Small","Chica","Chihuahua"
32589139,"CA1382","<a href='https://www.petfinder.com/dog/olivia-b-32589139/ca/oakhurst/kellen-rescue-ca1382/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","Olivia B","McNab"
31703036,"CA1509","<a href='https://www.petfinder.com/dog/genevieve-31703036/ca/patterson/westside-animals-for-adoption-ca1509/?referrer_id=43036cfd-f268-4ddd-91f4-5f0b68e4a0b5'>Links on Petfinder</a>","Dog","Dog","Adult","Female","Medium","Genevieve","Dutch Shepherd"
